name,inside,outside,total,section,honors,group
Phys 1112,0.096153848,0.33333334,0.21359223,intro,,intro1
Phys 1116,0.72115386,0.5,0.61165047,intro,honors,intro1
Phys 1117,0.07692308,0.068627454,0.072815537,other_phys,,other_phys
Phys 2207,0.028846154,0.049019609,0.038834952,other_phys,,other_phys
Phys 2208,0,0.009803922,0.004854369,other_phys,,other_phys
Phys 2213,0.10576923,0.46078432,0.28155339,intro,,intro2
Phys 2214,0.125,0.49019608,0.30582523,intro,,intro3
Phys 2216,0.23076923,0.42156863,0.32524273,,,other_phys
Phys 2217,0.81730771,0.51960784,0.66990292,intro,honors,intro2
Phys 2218,0.84615386,0.5,0.6747573,intro,honors,intro3
Phys 3310,0.32692307,0.19607843,0.26213592,lab,,lab
Phys 3314,0.13461539,0.46078432,0.2961165,em,,mech2
Phys 3316,0.96153843,0.93137252,0.94660193,quantum,,quantum
Phys 3317,0.98076922,0.94117647,0.96116507,quantum,,quantum
Phys 3318,0.82692307,0.48039216,0.65533978,em,honors,mech2
Phys 3323,0.13461539,0.50980395,0.32038835,em,,em2
Phys 3327,0.85576922,0.4509804,0.65533978,em,honors,em2
Phys 3330,0.125,0.17647059,0.15048544,lab,,lab
Phys 3341,0.55769229,0.24509804,0.40291262,other_phys,,other_phys
Phys 3360,0.375,0.24509804,0.31067961,lab,,lab
Phys 4410,1,0.019607844,0.51456308,lab,,lab
Phys 4433,0.07692308,0.05882353,0.067961164,other_phys,,other_phys
Phys 4443,0.76923078,0.39215687,0.5825243,other_phys,,other_phys
Phys 4444,0.21153846,0.098039217,0.15533981,other_phys,,other_phys
Phys 4445,0.38461539,0.14705883,0.2669903,other_phys,,other_phys
Phys 4454,0.16346154,0.029411765,0.097087376,other_phys,,other_phys
Phys 4456,0.028846154,0,0.014563107,other_phys,,other_phys
Phys 4480,0.17307693,0.15686275,0.16504854,other_phys,,other_phys
Phys 4484,0.20192307,0.14705883,0.17475729,other_phys,,other_phys
Phys 4485,0.067307696,0.088235296,0.077669904,other_phys,,other_phys
Phys 4490,0.36538461,0.18627451,0.27669904,other_phys,,other_phys
Phys 4491,0.096153848,0.11764706,0.10679612,other_phys,,other_phys
Phys 4492,0.057692308,0.039215688,0.048543688,other_phys,,other_phys
Phys 6553,0.067307696,0.019607844,0.043689322,other_phys,,other_phys
Phys 6554,0.01923077,0.009803922,0.014563107,other_phys,,other_phys
Phys 6561,0.057692308,0.009803922,0.033980582,other_phys,,other_phys
Phys 6562,0.07692308,0.049019609,0.063106798,other_phys,,other_phys
Phys 6572,0.11538462,0.049019609,0.08252427,other_phys,,other_phys
Phys 6574,0.048076924,0.009803922,0.029126214,other_phys,,other_phys
Phys 6599,0.01923077,0,0.009708738,other_phys,,other_phys
Phys 7651,0.15384616,0.019607844,0.087378643,other_phys,,other_phys
Phys 7652,0.07692308,0.009803922,0.043689322,other_phys,,other_phys
Phys 7680,0.01923077,0,0.009708738,other_phys,,other_phys
Phys 7683,0.028846154,0,0.014563107,other_phys,,other_phys
Phys 7685,0.028846154,0.009803922,0.019417476,other_phys,,other_phys
Aep 2640,0.057142857,0.15789473,0.10958904,aep,,aep
Aep 3210,0,0,0,aep,,aep
Aep 3220,0,0,0,aep,,aep
Aep 4210,0.5714286,0.57894737,0.57534248,aep,,aep
Aep 4220,0.37142858,0.34210527,0.3561644,aep,,aep
Aep 4230,0.057142857,0.052631579,0.05479452,aep,,aep
Aep 4380,0.085714288,0.10526316,0.09589041,aep,,aep
Aep 4440,0,0.02631579,0.01369863,aep,,aep
Aep 4500,0,0.02631579,0.01369863,aep,,aep
Astro 2211,0,0,0,astro,,astro
Astro 2299,0,0,0,astro,,astro
